Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal,Environmental_Impact_Score,Sustainability_Score
Gold,Hybrid,Recycled,332.11,21.43,247.76,58.51,25.79,5.01,0.46,4293.42,43.97,0.05,0.6453387100205428,0.3986171746384872
Aluminium,Primary,Recycled,59.61,10.04,14.6,412.1,45.83,7.3,0.44,2.92,6.68,0.16,0.15786334655099876,0.5217226696329256
Nickel,Primary,Recycled,78.61,8.12,9.93,163.14,72.62,2.97,0.53,16.78,6.44,0.05,0.15074894294210198,0.5685534149054505
Aluminium,Primary,Recycled,197.99,7.73,6.08,402.79,87.07,3.27,0.44,1.83,10.81,0.16,0.23981327620255213,0.5970274972191323
Zinc,Recycled,Recycled,64.07,2.42,9.5,314.3,40.77,3.78,0.18,2.74,9.57,0.15,0.08181245560001528,0.31917343715239155
Zinc,Hybrid,Reused,51.68,5.99,7.84,118.61,62.66,3.61,0.19,2.86,12.28,0.18,0.10649944648298046,0.4069514571746385
Zinc,Primary,Reused,67.2,6.56,5.1,245.84,36.94,4.38,0.59,2.38,11.58,0.16,0.12279344384938613,0.4812016017797553
Cobalt,Hybrid,Landfilled,58.27,4.4,8.97,134.46,29.57,4.52,0.47,23.01,16.19,0.1,0.09662258683941122,0.40683617352614015
Zinc,Recycled,Reused,84.15,2.12,2.98,285.04,26.09,3.88,0.47,3.96,10.15,0.16,0.09053269997170572,0.37867813125695216
Lead,Hybrid,Landfilled,50.94,5.75,2.2,250.74,41.99,4.79,0.46,1.42,5.75,0.15,0.0997456657455312,0.45852284760845385
Lead,Hybrid,Landfilled,39.35,2.13,2.36,105.63,59.21,3.93,0.59,1.38,11.0,0.11,0.05436852616643332,0.5602704783092325
Nickel,Hybrid,Reused,171.68,6.13,8.27,147.9,22.25,3.65,0.34,17.36,14.54,0.09,0.20421534834459684,0.3062013348164628
Copper,Recycled,Landfilled,129.21,7.26,13.34,325.51,39.06,4.94,0.62,5.7,21.63,0.12,0.18491287976601883,0.5141398887652948
Steel,Recycled,Reused,52.87,3.36,2.35,342.13,40.43,7.35,0.43,0.89,35.57,0.07,0.07748417926418903,0.4972350166852058
Copper,Hybrid,Recycled,103.92,6.93,6.91,217.75,35.66,2.21,0.42,7.86,6.4,0.09,0.1570861730556021,0.3598057397107898
Steel,Recycled,Landfilled,50.5,4.5,5.36,270.22,61.11,5.12,0.78,1.76,39.89,0.05,0.08899766292668815,0.6703443381535039
Copper,Primary,Reused,137.26,3.96,4.14,353.64,17.1,1.26,0.14,5.54,21.05,0.07,0.15221159095762363,0.15243114571746386
Steel,Hybrid,Landfilled,71.13,1.32,3.07,110.01,44.03,1.42,0.45,0.75,34.81,0.14,0.07217158973812718,0.38771065628476087
Copper,Recycled,Recycled,104.11,5.81,3.39,229.75,8.46,2.68,0.33,6.61,10.87,0.16,0.14368812535774814,0.2254618020022247
Silver,Primary,Recycled,224.96,16.22,113.63,152.95,39.99,3.43,0.22,1417.58,20.48,0.05,0.41803610635257843,0.32426700778642936
Lead,Hybrid,Landfilled,28.88,3.74,6.07,205.53,21.31,2.59,0.28,1.27,7.7,0.05,0.06456803168368602,0.25485957730812014
Lead,Hybrid,Reused,40.58,4.22,5.78,207.85,83.23,3.76,0.52,1.57,10.5,0.03,0.07853865592377313,0.6245684983314794
Silver,Primary,Landfilled,295.86,10.83,109.91,54.81,20.8,3.19,0.44,833.22,14.27,0.05,0.418378987579582,0.3301677419354839
Copper,Primary,Landfilled,50.79,6.54,12.26,189.29,17.78,2.2,0.69,5.57,11.64,0.15,0.11423606081675826,0.3960632703003337
Silver,Recycled,Recycled,283.38,17.49,135.82,101.05,72.3,1.21,0.42,1044.02,13.32,0.04,0.4922865864285023,0.4841187986651836
Nickel,Hybrid,Landfilled,158.24,11.36,7.31,127.15,73.11,3.36,0.4,12.1,12.66,0.17,0.24513302933400397,0.5271897219132369
Nickel,Recycled,Recycled,85.57,9.8,9.07,413.83,35.71,5.31,0.53,13.98,14.78,0.2,0.17254932863063147,0.47297125695216913
Nickel,Primary,Reused,62.85,5.46,11.5,278.92,43.54,4.08,0.27,17.45,15.92,0.19,0.11257745359635302,0.37292751946607344
Lead,Primary,Landfilled,88.18,4.01,6.66,143.28,60.99,1.2,0.65,2.15,5.99,0.08,0.11511638137355953,0.5306563292547274
Gold,Primary,Reused,371.75,21.02,281.8,183.52,70.63,1.2,0.22,4320.16,31.53,0.03,0.6956585877222328,0.3972163292547275
Steel,Hybrid,Reused,43.08,2.47,6.71,200.38,53.65,5.17,0.57,1.49,39.88,0.08,0.06365504538723761,0.5576166852057842
Copper,Primary,Recycled,100.2,5.15,9.43,246.2,27.38,4.52,0.54,7.01,11.63,0.2,0.13798527699440205,0.4260761735261402
Lead,Primary,Landfilled,77.22,3.86,7.5,119.63,51.1,1.8,0.59,2.22,8.44,0.12,0.10540552446359544,0.4804444938820912
Silver,Primary,Recycled,269.8,17.55,56.93,192.69,54.38,3.95,0.41,721.91,15.31,0.04,0.4294121143247681,0.4693954171301447
Gold,Recycled,Recycled,376.32,38.95,299.92,160.43,72.23,5.88,0.17,4424.41,14.54,0.01,0.8907437432530085,0.48773201334816463
Steel,Primary,Recycled,36.85,5.15,7.24,113.66,89.37,1.93,0.78,1.86,22.09,0.04,0.08582967899465005,0.7124165962180201
Gold,Primary,Reused,342.38,39.02,164.78,72.76,81.32,1.79,0.14,4812.92,43.07,0.03,0.774166405621788,0.42110202447163514
Gold,Recycled,Recycled,317.22,26.17,294.3,69.69,34.71,1.91,0.55,4922.79,42.08,0.04,0.7118699309627556,0.40133165739710797
Nickel,Recycled,Reused,106.02,14.5,10.02,209.26,31.62,5.2,0.42,18.03,18.84,0.18,0.23655949330897916,0.41016409343715243
Tin,Hybrid,Recycled,44.48,3.23,4.07,185.08,40.23,4.0,0.46,19.1,7.5,0.02,0.07061681250466437,0.43390776418242494
Gold,Primary,Recycled,301.44,30.0,179.27,144.42,44.14,5.85,0.39,3089.78,37.88,0.05,0.6608445981214301,0.4627046051167965
Nickel,Hybrid,Reused,158.52,13.25,6.17,390.87,27.3,5.22,0.2,19.72,16.99,0.14,0.2635016200149898,0.3053290322580645
Steel,Primary,Landfilled,98.02,5.69,3.99,344.25,55.55,8.46,0.3,0.75,15.02,0.07,0.13801446993923652,0.5304091212458287
Cobalt,Primary,Landfilled,75.45,9.85,9.92,220.91,36.08,4.36,0.13,34.06,7.0,0.05,0.16551784195111546,0.2933166629588432
Cobalt,Hybrid,Landfilled,135.9,11.43,8.3,377.87,41.78,2.24,0.11,28.4,6.42,0.07,0.22861601721574804,0.26095314794215796
Copper,Recycled,Landfilled,94.9,8.61,4.27,323.34,10.73,4.46,0.25,7.8,18.02,0.18,0.1649117391977075,0.2421413570634038
Zinc,Recycled,Recycled,46.26,2.07,9.37,190.19,44.72,3.04,0.32,3.16,13.84,0.07,0.06397261491456338,0.374510700778643
Steel,Primary,Reused,93.26,7.92,4.03,240.14,76.37,2.73,0.31,1.14,13.03,0.13,0.15653757737018678,0.49021414905450506
Nickel,Hybrid,Reused,132.36,5.28,12.15,155.98,47.53,1.56,0.48,19.84,7.13,0.25,0.1668351398097587,0.41682522803114574
Nickel,Recycled,Recycled,60.77,6.06,6.85,181.98,21.56,3.53,0.63,12.56,10.65,0.2,0.11381362773447196,0.41677170189099
Nickel,Primary,Landfilled,104.29,14.3,4.01,237.2,31.13,4.97,0.21,19.86,10.29,0.2,0.22916684246324492,0.31908729699666294
Nickel,Primary,Landfilled,91.88,10.81,15.88,123.8,71.26,5.31,0.23,18.51,10.05,0.09,0.19224258010609288,0.4951712569521691
Aluminium,Hybrid,Recycled,191.42,8.35,16.26,221.76,50.18,1.49,0.74,2.32,5.07,0.16,0.2475457262441476,0.5298679421579533
Tin,Hybrid,Recycled,43.99,5.72,1.49,83.04,54.26,3.7,0.42,16.06,5.43,0.05,0.09341046263700253,0.4673536818687431
Silver,Hybrid,Reused,270.94,17.85,90.1,171.86,37.24,4.49,0.11,1164.45,10.37,0.03,0.45544436998956506,0.292848765294772
Lead,Primary,Recycled,54.08,5.04,3.95,132.62,63.73,5.89,0.42,1.99,14.58,0.1,0.09632362198858092,0.5539544827586207
Silver,Hybrid,Recycled,318.59,12.35,109.97,197.34,49.46,4.47,0.45,878.85,18.52,0.02,0.4518122560363825,0.4772838264738599
Copper,Hybrid,Landfilled,122.58,8.1,14.07,333.91,77.17,4.98,0.42,7.28,20.64,0.1,0.18849618509270794,0.5874697664071191
Silver,Primary,Recycled,295.22,10.49,124.08,92.62,36.84,1.68,0.53,985.7,24.83,0.03,0.423915170170655,0.3967348609566185
Silver,Primary,Landfilled,193.2,19.45,143.26,122.52,59.93,4.32,0.26,1104.97,17.72,0.02,0.4446871609783721,0.43982678531701896
Tin,Primary,Landfilled,74.22,1.83,1.7,151.47,46.82,2.45,0.52,23.69,11.43,0.03,0.07883202992564928,0.4497850055617353
Lead,Hybrid,Landfilled,38.95,6.53,5.42,114.07,51.28,3.43,0.34,2.21,13.24,0.08,0.10009997703341772,0.4174270077864294
Tin,Recycled,Reused,48.83,3.89,3.02,238.32,29.08,4.24,0.44,24.48,14.28,0.02,0.0799993205141038,0.3866470300333704
Steel,Primary,Reused,38.61,7.99,3.14,243.58,88.46,7.36,0.35,1.89,22.05,0.14,0.1129111408802075,0.6575774860956618
Cobalt,Primary,Landfilled,134.29,10.22,9.14,310.22,32.47,1.09,0.49,38.66,9.63,0.12,0.2157847543165203,0.3501291657397108
Zinc,Hybrid,Recycled,35.94,5.67,2.71,169.56,46.92,5.32,0.35,2.09,7.92,0.18,0.08728195530604548,0.4460337263626251
Steel,Recycled,Reused,33.32,5.41,3.77,381.52,35.82,1.71,0.65,0.66,35.45,0.07,0.0832915313161846,0.44132226918798667
Aluminium,Primary,Landfilled,130.04,6.68,5.16,460.51,49.54,1.96,0.31,1.62,7.46,0.21,0.1743208407197545,0.3657640044493882
Copper,Recycled,Landfilled,101.31,6.48,9.41,360.69,63.35,3.45,0.42,5.91,16.9,0.07,0.1521635324159666,0.4981519466073415
Zinc,Primary,Reused,108.18,7.5,2.76,241.28,54.3,1.62,0.17,2.22,13.21,0.07,0.16342921647751557,0.3212400444938821
Copper,Recycled,Landfilled,60.58,6.43,5.26,246.09,74.16,6.09,0.63,5.23,13.73,0.03,0.1163022246100311,0.684123870967742
Cobalt,Recycled,Landfilled,106.55,7.92,7.88,345.23,53.64,2.82,0.36,31.32,7.01,0.18,0.16974011922103224,0.42129637374860957
Lead,Hybrid,Landfilled,83.11,2.58,3.75,277.61,68.01,4.0,0.49,1.24,11.53,0.15,0.09481507084311079,0.557027764182425
Copper,Primary,Landfilled,98.46,9.04,7.29,287.75,58.36,2.68,0.49,5.67,9.0,0.04,0.1740755394883524,0.48906180200222477
Nickel,Recycled,Landfilled,116.54,6.14,8.68,264.82,38.05,2.66,0.19,15.32,15.11,0.21,0.16046354202124147,0.2873768631813126
Gold,Primary,Recycled,367.31,27.62,299.9,145.2,78.05,5.08,0.52,4808.45,17.0,0.02,0.7701919112312356,0.6332144605116796
Nickel,Primary,Landfilled,115.69,9.61,8.93,243.11,67.12,4.47,0.3,13.6,8.08,0.05,0.19465872625228153,0.48792382647385985
Silver,Hybrid,Recycled,297.46,23.3,52.58,111.38,47.51,1.72,0.34,1319.0,18.04,0.02,0.5061603597719239,0.3643047385984427
Steel,Primary,Landfilled,77.02,2.67,9.89,120.98,79.54,3.51,0.31,0.56,39.53,0.07,0.0949362590408113,0.5202467630700779
Gold,Primary,Reused,357.9,31.13,194.72,164.19,40.38,5.59,0.15,3868.38,44.4,0.02,0.7276317256935031,0.34588040044493884
Nickel,Recycled,Recycled,177.74,10.5,15.88,359.54,55.4,4.65,0.3,13.39,13.96,0.15,0.25785041749606963,0.44504827586206896
Silver,Primary,Landfilled,198.69,14.38,146.2,138.71,50.51,2.74,0.39,849.85,19.11,0.02,0.4003283236103099,0.4189966184649611
Silver,Primary,Recycled,242.72,21.17,94.95,90.41,54.45,4.52,0.23,1168.35,18.9,0.04,0.469304093018177,0.4103561735261402
Steel,Recycled,Recycled,28.82,7.42,5.9,149.19,65.2,3.74,0.3,1.55,36.46,0.15,0.1012158560163229,0.4640035595105673
Aluminium,Primary,Reused,159.75,8.77,9.32,278.93,36.63,1.22,0.64,2.28,14.77,0.17,0.22177527265224936,0.4296612680756396
Gold,Hybrid,Reused,400.87,32.52,263.43,57.42,87.75,1.44,0.58,4973.96,35.83,0.02,0.8217404024932484,0.615035595105673
Cobalt,Primary,Landfilled,100.49,9.09,6.96,381.48,58.51,2.51,0.16,22.49,9.0,0.12,0.1759800931834988,0.3538798220244716
Aluminium,Primary,Landfilled,146.2,4.14,19.41,435.89,65.49,1.65,0.56,1.85,10.51,0.2,0.1713489027047958,0.5226674527252503
Steel,Hybrid,Recycled,97.81,1.39,9.56,191.57,88.87,4.25,0.49,1.2,11.85,0.13,0.09854999065562518,0.6460294994438265
Copper,Recycled,Reused,104.25,6.08,4.5,365.09,78.67,4.09,0.62,6.4,7.6,0.03,0.14724103152259296,0.6536699888765296
Nickel,Primary,Landfilled,158.5,8.86,13.37,430.58,57.13,2.03,0.23,16.02,13.99,0.09,0.22437591781053767,0.3656812903225807
Steel,Recycled,Recycled,42.32,7.0,5.9,134.59,23.67,6.32,0.56,1.68,38.71,0.05,0.10781804672604894,0.4592806674082315
Gold,Recycled,Landfilled,316.0,39.99,234.48,103.17,86.78,5.01,0.41,3954.09,44.83,0.02,0.8092375592112149,0.6225771746384873
Zinc,Primary,Landfilled,83.12,5.78,3.58,178.11,51.05,2.55,0.18,2.02,7.3,0.13,0.12671771168071416,0.3329296996662959
Gold,Recycled,Reused,470.73,38.91,220.12,199.12,89.29,4.5,0.49,4790.44,26.07,0.01,0.9126801179767752,0.6532712347052281
Cobalt,Primary,Reused,155.44,5.69,13.33,224.8,48.92,4.51,0.11,39.61,9.67,0.15,0.19019258242873155,0.3400137041156841
Copper,Hybrid,Recycled,99.48,6.71,12.11,270.5,71.84,6.21,0.35,5.01,14.99,0.06,0.15480014835598718,0.5655135038932146
Lead,Hybrid,Landfilled,49.53,4.39,1.64,240.51,24.38,5.92,0.25,1.62,9.85,0.02,0.08464049347832406,0.3292218909899889
Tin,Primary,Landfilled,46.57,3.32,2.82,275.6,52.86,4.19,0.14,19.37,9.63,0.1,0.07235598369662298,0.3606546829810901
Zinc,Primary,Landfilled,35.39,4.09,3.86,295.59,43.89,5.93,0.29,3.55,7.7,0.06,0.07180474344433084,0.423484360400445
Steel,Recycled,Recycled,50.64,6.94,5.84,366.69,44.98,7.56,0.3,0.96,31.75,0.09,0.11383588341824746,0.46810687430478304
Tin,Primary,Landfilled,62.61,3.63,1.47,158.23,55.98,1.95,0.35,17.8,6.22,0.06,0.08739236958163092,0.4073015350389322
Copper,Hybrid,Recycled,61.5,5.8,8.05,351.78,39.08,6.17,0.65,6.42,11.94,0.08,0.11259736621474448,0.5535836262513905
Tin,Recycled,Landfilled,72.22,2.98,5.7,145.39,44.3,1.66,0.19,18.04,11.85,0.08,0.0914018034679938,0.2901299221357063
Steel,Recycled,Recycled,49.51,6.18,7.74,278.38,27.91,7.49,0.28,1.93,12.4,0.07,0.10659671619628681,0.3902695884315907
Aluminium,Primary,Reused,188.31,5.71,11.58,263.54,62.1,2.12,0.44,2.44,18.18,0.29,0.21552954574782202,0.4715635150166852
Copper,Recycled,Landfilled,46.43,4.4,10.94,334.01,55.26,7.0,0.4,5.81,9.96,0.07,0.08846142803564845,0.5367685873192436
Silver,Hybrid,Reused,338.22,23.88,141.59,99.78,57.16,1.58,0.47,1447.98,21.73,0.03,0.6039354236909742,0.45179016685205786
Gold,Hybrid,Recycled,425.38,34.33,264.66,82.43,39.91,5.3,0.4,3881.59,17.41,0.01,0.8602790315150242,0.43754878754171306
Tin,Hybrid,Landfilled,28.73,4.15,2.51,95.11,17.59,4.87,0.59,18.31,10.71,0.07,0.06617505453815925,0.4147026028921023
Tin,Recycled,Reused,35.75,4.88,2.49,118.94,62.21,2.64,0.56,18.37,5.48,0.05,0.07908122841027772,0.5315719243604005
Tin,Recycled,Reused,28.12,1.54,3.84,223.41,67.17,2.42,0.57,20.64,9.29,0.05,0.04046728463674793,0.550517597330367
Steel,Recycled,Landfilled,50.09,7.33,8.86,310.68,21.89,8.84,0.6,1.55,33.59,0.12,0.1193105969878773,0.5242229588431591
Copper,Recycled,Landfilled,71.03,4.45,9.73,239.66,60.34,6.83,0.24,5.23,12.98,0.11,0.10784057700348176,0.48930660734149056
Tin,Recycled,Recycled,30.55,2.36,4.28,211.27,69.38,3.7,0.1,17.7,12.96,0.06,0.05090733010080896,0.3998336818687431
Silver,Primary,Recycled,168.61,23.86,84.61,142.41,49.14,2.09,0.29,774.99,7.18,0.02,0.43000985591644725,0.359056106785317
Tin,Primary,Recycled,53.82,4.16,3.08,292.79,48.98,1.85,0.29,19.49,6.73,0.08,0.08673320431179567,0.3530768409343715
Zinc,Recycled,Landfilled,107.57,3.81,10.85,162.62,49.88,5.88,0.53,2.86,9.55,0.12,0.13142661466593947,0.5423320133481646
Zinc,Recycled,Recycled,88.46,2.15,2.37,242.13,15.8,4.38,0.39,2.1,9.66,0.09,0.09387503456083619,0.3166416017797553
Zinc,Primary,Recycled,117.89,8.97,4.06,287.68,19.28,2.79,0.41,3.34,7.91,0.15,0.18677012133524898,0.3031889655172414
Aluminium,Primary,Recycled,151.99,11.79,14.57,401.83,25.32,3.59,0.64,2.46,6.81,0.15,0.24927389516362233,0.43714651835372637
Nickel,Primary,Landfilled,83.07,10.78,6.77,243.36,76.22,5.54,0.12,16.11,7.46,0.04,0.1788174367319423,0.4761280533926585
Tin,Recycled,Landfilled,57.48,4.82,4.06,145.9,67.48,1.32,0.24,23.9,13.75,0.07,0.09691724099002512,0.39528596218020023
Tin,Hybrid,Landfilled,22.29,5.36,4.08,264.43,16.62,2.5,0.12,17.77,14.03,0.06,0.07417148008300646,0.1700973526140156
Steel,Hybrid,Landfilled,99.43,3.23,9.09,373.08,61.72,1.05,0.75,0.98,26.53,0.06,0.11793756381141143,0.5702392880978866
Steel,Primary,Landfilled,98.32,1.37,8.47,296.42,28.93,8.84,0.24,1.45,35.42,0.09,0.09803120258372075,0.4083829588431591
Copper,Primary,Landfilled,81.21,9.3,9.07,220.97,40.51,1.99,0.31,7.24,20.82,0.04,0.16405903160403915,0.33031141268075637
Copper,Recycled,Landfilled,82.21,6.63,5.79,154.44,49.97,4.42,0.21,7.73,18.79,0.08,0.1359653450735779,0.38221147942157957
Tin,Hybrid,Recycled,57.62,5.82,2.69,198.29,42.5,3.55,0.39,16.73,10.9,0.08,0.10611819827141007,0.4049766407119022
Copper,Recycled,Landfilled,84.42,9.96,11.68,391.75,67.69,5.13,0.63,5.34,8.13,0.13,0.174969916771598,0.63688680756396
Steel,Hybrid,Landfilled,34.71,1.85,5.87,206.79,46.45,8.18,0.51,1.66,36.91,0.04,0.05019533622365369,0.571779977753059
Silver,Recycled,Landfilled,289.37,13.15,63.01,118.76,45.56,2.05,0.44,1341.17,18.26,0.01,0.4051162242940794,0.4038462291434928
Silver,Hybrid,Landfilled,313.93,18.75,80.28,130.49,63.25,4.01,0.22,730.83,5.28,0.02,0.49230052833830523,0.430210233592881
Zinc,Primary,Reused,35.27,5.07,10.07,227.8,23.89,2.04,0.23,3.42,8.6,0.19,0.08565226954281994,0.23294375973303671
Silver,Recycled,Recycled,198.2,24.21,93.74,179.04,37.62,3.41,0.54,991.97,29.28,0.02,0.4632781250770941,0.44234206896551725
Gold,Hybrid,Landfilled,406.76,24.65,181.61,77.1,26.48,3.24,0.57,3828.99,38.74,0.04,0.6931729202731225,0.4060000889877642
Silver,Recycled,Reused,219.55,18.42,121.08,71.18,32.51,3.21,0.58,1033.64,22.93,0.03,0.44068030040267586,0.43345268075639604
Nickel,Primary,Reused,143.15,12.55,16.27,123.66,13.53,1.73,0.48,10.49,7.1,0.09,0.2509353090382398,0.28460720800889877
Tin,Hybrid,Recycled,29.95,2.46,2.51,219.11,29.63,2.54,0.6,20.53,11.58,0.07,0.05024712136951147,0.4150272302558398
Copper,Recycled,Reused,96.68,9.34,7.3,190.92,30.94,6.89,0.1,6.29,21.37,0.07,0.17565853079261948,0.31704142380422695
Lead,Primary,Reused,81.28,5.55,3.95,283.63,24.63,1.3,0.37,1.29,9.43,0.05,0.12319142726639833,0.2754410233592881
Nickel,Primary,Recycled,105.12,12.0,4.87,314.77,56.79,5.12,0.27,19.78,7.31,0.24,0.20739877654816688,0.4490643381535039
Steel,Recycled,Landfilled,52.54,3.18,8.1,355.3,21.03,5.74,0.32,1.72,25.79,0.07,0.07925400575611463,0.3398174416017798
Steel,Primary,Recycled,94.41,3.5,4.71,169.39,23.94,4.16,0.42,1.28,10.91,0.03,0.11370025494428866,0.3563072747497219
Silver,Recycled,Landfilled,297.92,12.4,138.41,120.32,77.2,4.6,0.31,893.36,23.31,0.01,0.45473647612758006,0.5351359288097887
Silver,Primary,Recycled,187.0,11.8,77.54,190.16,26.66,2.15,0.59,729.47,21.78,0.03,0.31938152274405773,0.3904709232480534
Cobalt,Recycled,Landfilled,76.4,6.58,11.37,282.84,41.35,3.33,0.47,31.21,16.42,0.07,0.13453681748847846,0.4274823136818688
Aluminium,Primary,Landfilled,128.64,11.52,6.48,223.64,88.88,3.53,0.48,2.09,9.58,0.16,0.22249284237394185,0.62605170189099
Silver,Primary,Recycled,225.24,24.11,70.75,61.18,63.19,4.79,0.36,1005.88,13.01,0.04,0.4685856116940779,0.5033228476084538
Copper,Hybrid,Landfilled,56.38,7.84,14.76,274.34,29.38,4.31,0.57,6.7,18.89,0.11,0.13337976486172345,0.4414043159065628
Nickel,Primary,Recycled,131.08,11.34,4.62,103.38,56.79,5.91,0.43,11.41,15.92,0.23,0.22140464728227846,0.5306394215795328
Tin,Recycled,Reused,63.4,2.26,4.41,292.28,52.07,3.65,0.37,15.36,7.97,0.06,0.07628165618814549,0.4374813348164628
Nickel,Hybrid,Recycled,155.68,14.55,5.75,149.38,42.99,2.0,0.17,13.35,5.07,0.25,0.2739521143365686,0.2844538820912125
Silver,Hybrid,Landfilled,249.91,20.15,77.94,64.5,58.49,3.33,0.5,1126.86,16.16,0.03,0.4535122436917378,0.5080423136818688
Copper,Primary,Landfilled,99.66,9.45,14.42,183.07,29.92,6.88,0.55,6.35,19.47,0.07,0.18389145405808627,0.4927389543937709
Tin,Hybrid,Reused,54.96,3.82,1.74,288.18,46.37,3.7,0.58,24.77,14.89,0.07,0.08335105616224875,0.499793681868743
Nickel,Hybrid,Reused,147.55,11.07,17.76,215.41,56.74,3.62,0.17,11.6,11.98,0.11,0.2406462627227816,0.37549392658509456
Gold,Recycled,Landfilled,341.83,35.71,140.93,115.94,50.99,2.66,0.57,4734.71,30.66,0.01,0.7247137553819405,0.49113686318131256
Gold,Recycled,Landfilled,426.5,37.5,196.77,129.43,58.05,2.55,0.27,4922.66,27.64,0.02,0.8476111548247531,0.39692969966629593
Nickel,Recycled,Landfilled,84.52,5.67,8.42,255.05,40.43,2.34,0.23,10.15,5.64,0.09,0.1299653000534014,0.3057778420467186
Zinc,Recycled,Reused,117.71,3.82,9.24,181.06,69.56,5.86,0.67,3.03,8.71,0.03,0.13856745437058826,0.6766070745272525
Nickel,Hybrid,Recycled,176.5,7.13,4.4,234.09,25.71,2.96,0.24,16.99,5.78,0.17,0.2154943179333817,0.26469094549499445
Zinc,Primary,Reused,42.53,3.96,9.46,156.57,59.34,3.49,0.46,3.11,12.62,0.06,0.07995246163173599,0.49900182424916584
Aluminium,Recycled,Recycled,133.34,11.51,15.54,218.35,63.26,1.62,0.22,2.06,9.74,0.25,0.2321955568024842,0.3770800444938821
Aluminium,Hybrid,Recycled,166.05,5.78,14.6,432.32,25.61,5.07,0.16,2.73,8.74,0.06,0.20043024715381277,0.2792319911012236
Tin,Recycled,Recycled,76.92,2.04,4.17,246.07,35.53,2.07,0.39,24.8,14.49,0.03,0.08474030914629575,0.34417116796440494
Nickel,Primary,Reused,118.17,11.87,13.31,345.14,38.79,1.75,0.26,11.36,15.03,0.21,0.22216975191811483,0.2980921468298109
Copper,Primary,Recycled,111.54,3.9,8.24,374.56,76.91,3.12,0.57,5.28,19.61,0.17,0.13376332868436297,0.6050504560622915
Zinc,Recycled,Landfilled,60.15,7.99,9.3,303.59,66.71,4.12,0.66,3.3,10.7,0.05,0.1342560741014382,0.6224973971078976
Gold,Primary,Recycled,356.25,27.42,172.31,163.57,76.36,4.04,0.13,4708.54,46.66,0.03,0.6742580671926544,0.44731764182424916
Aluminium,Hybrid,Recycled,122.87,10.36,7.75,221.92,43.57,2.05,0.5,2.05,5.09,0.12,0.2071194489378638,0.4198862291434928
Copper,Primary,Landfilled,60.54,4.6,9.29,194.51,54.52,5.65,0.62,7.91,19.12,0.08,0.10065302216532815,0.5917752169076753
Steel,Primary,Landfilled,68.17,2.54,3.67,300.02,25.36,4.33,0.74,1.07,10.72,0.08,0.0824060365827526,0.493769254727475
Nickel,Primary,Reused,87.66,8.43,4.77,173.14,50.99,5.58,0.13,14.69,18.82,0.12,0.15765097320967522,0.3800979310344828
Cobalt,Primary,Recycled,78.37,4.94,13.7,281.38,62.52,4.36,0.2,36.23,5.61,0.12,0.12126293707114899,0.4270766629588432
Steel,Recycled,Landfilled,54.12,4.34,5.69,253.77,55.32,1.88,0.35,0.57,13.58,0.08,0.09051419056969663,0.4031042491657397
Silver,Recycled,Reused,213.64,23.85,84.35,155.53,37.88,1.32,0.31,1416.66,16.04,0.01,0.46577126178544387,0.3048859621802002
Zinc,Primary,Reused,97.64,8.66,6.48,173.4,40.66,3.66,0.33,2.34,14.72,0.08,0.16907824835332508,0.3760638042269188
Aluminium,Primary,Reused,124.99,9.83,17.04,369.65,78.23,5.42,0.59,1.84,19.05,0.1,0.20970961788863796,0.6694984204671859
Tin,Primary,Recycled,25.57,1.24,4.66,188.33,79.49,4.78,0.37,24.07,11.13,0.08,0.035972734748874836,0.5723003781979978
Copper,Primary,Reused,74.3,7.59,13.01,164.47,7.9,5.59,0.46,6.63,5.39,0.12,0.1440524639352987,0.3399604004449388
Cobalt,Recycled,Landfilled,152.37,6.22,7.38,336.29,60.21,2.92,0.24,27.44,18.69,0.1,0.18906944601236428,0.4018010678531702
Lead,Primary,Reused,45.65,2.71,7.78,137.82,37.55,4.05,0.42,1.71,14.02,0.03,0.06882578612866566,0.4083001112347053
Steel,Hybrid,Reused,39.5,6.36,5.99,125.7,52.32,2.35,0.22,0.74,23.6,0.12,0.09921978532711581,0.3495603114571747
Nickel,Recycled,Recycled,75.33,8.74,4.55,140.84,33.85,4.05,0.46,18.71,12.16,0.17,0.15073808252723706,0.40950011123470526
Nickel,Primary,Landfilled,105.82,11.84,5.19,417.2,30.89,4.01,0.22,17.06,17.37,0.23,0.2065719347359536,0.300770233592881
Tin,Primary,Landfilled,61.86,1.04,1.95,92.82,74.58,2.01,0.52,21.5,11.77,0.09,0.061205798264554884,0.5510363515016686
Gold,Recycled,Recycled,447.46,39.28,260.47,86.19,60.68,2.55,0.18,4478.82,42.45,0.01,0.9246666319788728,0.3714496996662959
Tin,Primary,Reused,30.4,3.16,4.56,83.17,46.51,2.62,0.59,24.2,9.72,0.06,0.058976011047852814,0.48032698553948827
Copper,Primary,Reused,67.12,5.41,10.03,199.48,68.13,6.63,0.27,6.23,7.22,0.13,0.11451409226958666,0.5280172191323693
Tin,Recycled,Recycled,76.02,1.54,4.76,149.44,50.87,3.02,0.48,20.23,13.44,0.05,0.07941228101909821,0.4626657619577308
