Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal
Silver,Recycled,Reused,250.92,10.32,118.27,160.49,82.1,1.95,0.33,942.11,14.59,0.03
Gold,Hybrid,Recycled,300.13,25.4,139.72,107.98,64.08,4.54,0.31,3118.7,48.04,0.05
Gold,Hybrid,Reused,441.2,39.03,129.22,139.72,68.68,3.91,0.31,3461.96,48.25,0.01
Copper,Recycled,Recycled,90.01,6.08,4.21,309.33,56.32,4.12,0.49,6.06,13.33,0.14
Cobalt,Primary,Recycled,93.17,8.05,7.76,114.34,31.92,1.53,0.26,26.87,15.67,0.16
Aluminium,Hybrid,Landfilled,95.78,8.95,9.28,305.95,21.82,2.75,0.41,2.26,11.25,0.13
Zinc,Hybrid,Reused,117.88,7.78,2.08,226.8,73.09,3.57,0.48,3.45,9.07,0.04
Steel,Recycled,Reused,28.93,2.45,7.12,194.08,52.42,4.28,0.74,1.03,39.78,0.11
Aluminium,Hybrid,Recycled,117.52,11.44,5.76,401.44,33.69,3.46,0.42,2.92,14.99,0.22
Lead,Recycled,Landfilled,78.41,3.76,1.15,267.22,84.7,3.36,0.21,1.75,7.84,0.05
Zinc,Hybrid,Recycled,72.64,3.62,6.25,125.95,25.57,2.91,0.33,2.11,8.5,0.14
Aluminium,Hybrid,Recycled,143.91,10.17,8.6,387.68,46.19,3.69,0.13,2.23,19.66,0.14
Steel,Primary,Reused,30.68,3.7,6.89,328.38,81.38,8.62,0.57,0.59,27.2,0.03
Zinc,Hybrid,Landfilled,33.95,2.11,7.89,219.29,54.27,4.09,0.51,2.55,6.93,0.06
Nickel,Primary,Reused,107.38,5.26,5.63,411.5,23.52,2.52,0.55,10.59,14.97,0.17
Lead,Hybrid,Recycled,57.63,4.41,1.53,112.3,83.97,4.49,0.31,1.53,9.48,0.13
Cobalt,Primary,Landfilled,86.39,10.17,9.0,116.1,33.76,2.3,0.26,33.75,12.34,0.13
Tin,Recycled,Recycled,34.36,5.57,1.96,100.25,46.22,1.1,0.14,22.91,6.15,0.04
Nickel,Hybrid,Recycled,106.64,12.31,13.94,150.56,67.05,2.46,0.21,13.43,9.38,0.24
Silver,Hybrid,Recycled,313.99,22.26,114.63,111.7,63.58,1.58,0.53,1032.36,14.08,0.02
Gold,Hybrid,Landfilled,324.92,39.76,120.01,184.75,33.29,1.19,0.49,4922.01,46.84,0.05
Silver,Hybrid,Reused,207.57,14.23,101.99,133.56,66.7,1.87,0.42,945.01,22.78,0.02
Steel,Recycled,Landfilled,74.54,6.18,8.62,339.24,29.25,8.78,0.57,1.9,14.56,0.08
Cobalt,Primary,Reused,100.27,4.48,7.53,117.99,61.34,1.18,0.25,37.56,17.02,0.16
Tin,Hybrid,Reused,35.72,5.48,2.86,131.89,48.03,2.16,0.58,16.49,7.79,0.05
Aluminium,Hybrid,Landfilled,91.15,7.28,9.49,240.68,75.06,7.35,0.53,2.58,17.96,0.09
Gold,Recycled,Reused,302.94,25.56,198.0,161.5,32.51,3.15,0.25,3644.71,32.16,0.01
Nickel,Primary,Recycled,152.37,12.92,8.48,143.83,45.98,3.99,0.53,12.73,13.46,0.24
Copper,Recycled,Landfilled,89.55,3.2,9.68,180.64,70.09,1.81,0.38,7.94,22.51,0.13
Nickel,Primary,Recycled,133.93,7.8,11.67,290.52,74.72,4.9,0.45,12.41,19.58,0.18
Steel,Hybrid,Landfilled,94.2,4.42,5.26,178.62,65.75,7.0,0.59,0.93,21.85,0.04
Aluminium,Recycled,Recycled,61.33,9.9,19.45,313.14,52.57,4.89,0.26,1.9,15.97,0.23
Gold,Hybrid,Reused,429.16,20.63,177.08,51.89,48.19,5.32,0.34,3504.14,26.82,0.04
Steel,Primary,Recycled,72.49,2.04,7.82,268.02,41.17,4.53,0.32,1.08,14.08,0.09
Silver,Recycled,Reused,228.41,24.01,77.83,73.78,81.15,2.65,0.49,1486.13,14.38,0.05
Silver,Primary,Landfilled,178.04,20.64,65.89,94.23,38.57,2.91,0.11,1074.19,7.44,0.01
Copper,Hybrid,Landfilled,115.83,3.75,11.66,266.06,43.91,3.21,0.24,6.52,18.68,0.11
Steel,Recycled,Landfilled,44.29,7.87,6.09,118.95,33.34,4.91,0.54,1.53,16.48,0.1
Cobalt,Hybrid,Recycled,147.37,10.71,14.58,228.12,65.69,3.21,0.31,29.42,15.85,0.08
Tin,Recycled,Recycled,53.6,5.41,3.93,98.04,57.3,4.61,0.17,24.58,13.93,0.1
Silver,Hybrid,Reused,342.57,16.26,82.56,129.79,55.38,3.01,0.19,1481.5,5.75,0.05
Lead,Recycled,Landfilled,36.74,3.35,3.73,89.22,41.82,3.48,0.71,1.25,6.22,0.03
Cobalt,Hybrid,Landfilled,66.57,10.07,6.97,175.43,67.99,3.24,0.53,25.78,10.68,0.06
Gold,Primary,Recycled,417.12,22.37,263.3,65.83,88.2,4.34,0.4,4125.05,30.32,0.03
Silver,Recycled,Landfilled,201.73,18.88,72.41,78.63,21.87,1.22,0.49,1399.95,28.34,0.05
Nickel,Hybrid,Landfilled,147.01,6.45,4.01,218.21,27.8,1.81,0.12,11.08,5.18,0.23
Aluminium,Recycled,Landfilled,197.39,4.57,11.24,382.32,51.63,5.64,0.22,2.05,5.35,0.19
Silver,Hybrid,Reused,334.48,14.4,127.36,182.53,68.1,1.37,0.36,903.01,17.76,0.02
Tin,Primary,Recycled,30.35,5.78,4.1,230.2,33.19,4.92,0.54,16.49,5.09,0.07
Steel,Hybrid,Landfilled,88.74,1.97,5.72,112.18,65.43,3.15,0.26,0.73,22.9,0.11
Lead,Primary,Landfilled,79.27,4.19,3.62,211.12,51.33,5.94,0.42,1.61,6.12,0.11
Steel,Hybrid,Reused,27.62,4.39,6.86,112.41,85.3,6.4,0.61,1.12,29.42,0.05
Nickel,Recycled,Landfilled,76.58,11.23,13.03,179.64,29.68,2.94,0.57,18.46,18.45,0.21
Zinc,Primary,Recycled,40.07,7.12,5.21,213.16,70.71,5.3,0.4,3.48,9.91,0.14
Tin,Primary,Landfilled,55.7,1.05,2.35,280.99,68.65,1.24,0.29,17.65,14.96,0.05
Gold,Primary,Landfilled,470.14,26.8,104.02,189.02,56.74,4.18,0.29,3041.79,35.24,0.02
Gold,Recycled,Recycled,465.6,27.5,228.18,163.81,31.34,1.52,0.29,4985.67,18.75,0.03
Silver,Primary,Reused,224.33,11.21,72.35,185.2,20.68,3.94,0.13,1153.94,8.71,0.04
Cobalt,Primary,Landfilled,115.14,11.55,4.19,157.9,33.24,4.16,0.29,20.63,11.17,0.2
Tin,Primary,Recycled,48.55,1.59,5.83,276.15,46.04,3.7,0.57,15.62,10.47,0.07
Silver,Recycled,Reused,252.62,14.88,100.87,102.61,76.77,2.62,0.23,1152.72,18.02,0.04
Zinc,Recycled,Reused,114.74,4.8,11.98,157.44,36.5,1.7,0.32,3.85,12.78,0.16
Gold,Primary,Recycled,405.49,27.27,173.6,144.81,64.61,1.69,0.21,3008.9,43.03,0.04
Lead,Hybrid,Reused,81.74,4.37,7.03,176.43,44.3,2.23,0.63,1.73,13.53,0.03
Zinc,Hybrid,Recycled,34.24,3.35,8.46,118.83,46.38,2.7,0.5,3.56,8.56,0.11
Cobalt,Recycled,Reused,65.84,4.45,8.39,205.57,44.1,2.41,0.34,39.02,16.61,0.09
Nickel,Recycled,Landfilled,137.09,12.32,8.18,127.53,67.96,4.6,0.54,13.29,5.11,0.15
Gold,Recycled,Recycled,488.3,29.75,287.5,121.57,48.12,2.94,0.24,3559.09,21.17,0.01
Silver,Hybrid,Landfilled,293.03,21.42,115.03,91.96,54.6,2.88,0.21,1090.47,28.75,0.02
Steel,Primary,Landfilled,30.77,7.67,6.54,113.39,87.35,2.39,0.29,1.02,26.96,0.06
Gold,Recycled,Recycled,370.33,24.99,164.71,117.55,36.45,5.71,0.44,4191.64,41.21,0.05
Nickel,Hybrid,Recycled,171.13,7.53,5.11,391.77,76.85,3.71,0.38,10.97,10.27,0.17
Copper,Primary,Reused,105.49,6.4,9.03,332.18,78.01,1.67,0.49,6.49,14.04,0.13
Gold,Recycled,Reused,481.27,34.27,144.6,166.7,82.15,2.37,0.55,3355.05,16.63,0.04
Copper,Primary,Reused,133.77,7.26,14.51,387.01,62.65,2.63,0.6,5.54,21.59,0.1
Zinc,Primary,Recycled,41.67,3.76,10.96,157.97,27.05,3.69,0.37,2.35,5.37,0.06
Lead,Primary,Recycled,29.62,6.52,1.11,170.1,78.56,5.08,0.23,1.94,13.63,0.11
Steel,Primary,Reused,54.57,4.65,4.2,270.33,66.43,3.35,0.55,1.96,10.45,0.14
Gold,Recycled,Landfilled,328.44,22.83,299.83,143.8,56.29,1.15,0.13,3020.37,14.92,0.04
Cobalt,Recycled,Landfilled,145.15,8.65,11.75,134.39,56.52,4.34,0.57,34.12,12.14,0.12
Aluminium,Recycled,Reused,97.16,10.99,16.14,271.59,51.84,7.32,0.48,2.27,6.12,0.16
Nickel,Hybrid,Recycled,95.51,14.24,7.93,335.71,79.78,3.67,0.14,11.49,17.43,0.15
Gold,Hybrid,Landfilled,480.03,34.62,153.88,166.27,66.7,5.15,0.3,3382.5,13.49,0.05
Gold,Primary,Reused,413.2,37.73,159.03,61.32,62.18,2.9,0.19,3512.48,16.11,0.03
Silver,Primary,Landfilled,240.5,15.45,86.2,120.57,80.29,3.58,0.51,1383.46,20.06,0.04
Copper,Primary,Landfilled,89.39,7.73,3.79,226.67,45.5,5.23,0.49,5.45,21.77,0.05
Tin,Hybrid,Reused,44.37,3.07,2.48,135.43,63.26,3.17,0.55,17.84,11.35,0.07
Cobalt,Recycled,Reused,149.82,6.61,3.85,222.14,54.61,1.45,0.4,30.08,6.98,0.05
Silver,Primary,Recycled,329.97,24.95,56.91,74.0,55.87,1.75,0.35,1355.39,20.45,0.02
Zinc,Primary,Recycled,35.0,3.15,10.93,346.92,22.48,1.6,0.37,2.14,9.22,0.14
Tin,Recycled,Reused,64.07,4.32,1.73,101.49,42.86,2.5,0.23,15.52,6.84,0.08
Silver,Hybrid,Recycled,184.41,10.73,110.82,68.58,55.78,4.33,0.15,720.78,27.28,0.04
Zinc,Recycled,Landfilled,116.94,7.59,5.73,133.07,65.0,5.25,0.17,2.61,9.01,0.11
Silver,Recycled,Reused,272.66,10.2,101.86,101.24,57.99,3.47,0.4,889.48,17.73,0.05
Lead,Hybrid,Recycled,73.2,2.19,6.82,81.03,24.79,3.59,0.72,2.09,10.41,0.12
Lead,Recycled,Landfilled,25.42,3.59,2.94,268.86,30.69,6.33,0.71,2.28,9.98,0.05
Gold,Primary,Landfilled,386.8,22.28,276.98,150.95,60.96,2.23,0.39,4830.37,15.34,0.04
Lead,Primary,Landfilled,71.83,4.75,1.57,169.8,21.15,6.73,0.73,1.84,5.89,0.14
Tin,Hybrid,Landfilled,66.96,3.76,1.32,173.26,12.78,4.38,0.6,20.55,6.67,0.03
Steel,Hybrid,Landfilled,65.17,2.6,9.93,220.16,35.8,2.46,0.8,0.51,35.86,0.12
Nickel,Recycled,Landfilled,86.06,7.8,14.08,405.96,25.48,1.7,0.52,14.17,16.16,0.2
Lead,Hybrid,Landfilled,59.51,4.4,7.45,109.17,58.95,4.53,0.78,2.12,9.35,0.1
Tin,Primary,Landfilled,61.23,1.41,5.6,131.43,18.08,4.66,0.44,23.79,13.05,0.06
Silver,Primary,Reused,171.15,19.94,59.28,197.35,39.98,1.61,0.32,1049.98,25.94,0.03
Lead,Hybrid,Recycled,38.41,4.83,1.04,280.72,70.5,3.24,0.63,1.54,11.73,0.13
Lead,Recycled,Reused,52.53,3.18,2.25,258.16,79.22,3.76,0.29,1.73,5.92,0.15
Silver,Primary,Recycled,158.88,24.46,111.8,82.84,83.43,2.07,0.35,1236.81,15.85,0.05
Aluminium,Recycled,Reused,190.22,7.36,10.65,217.03,62.02,4.53,0.36,2.68,6.54,0.12
Steel,Hybrid,Reused,56.85,7.67,4.97,350.61,41.65,2.39,0.29,1.18,39.1,0.02
Cobalt,Primary,Recycled,113.96,11.02,6.44,117.45,14.73,3.79,0.54,33.02,11.09,0.11
Zinc,Recycled,Recycled,104.01,8.59,3.42,320.26,20.48,1.43,0.62,3.59,11.26,0.12
Zinc,Hybrid,Recycled,92.36,3.04,3.15,310.99,67.3,2.18,0.44,3.07,10.45,0.17
Lead,Recycled,Recycled,64.72,4.09,7.87,232.04,44.61,6.99,0.51,1.93,8.88,0.11
Zinc,Recycled,Recycled,41.3,3.62,5.16,200.2,62.03,4.6,0.57,3.94,8.81,0.03
Nickel,Recycled,Recycled,127.59,5.75,12.12,131.08,19.85,4.04,0.37,16.71,19.61,0.22
Copper,Hybrid,Recycled,85.53,6.31,5.18,257.82,83.31,4.82,0.23,7.12,19.9,0.07
Steel,Hybrid,Landfilled,33.64,7.9,7.64,271.56,48.39,8.12,0.32,0.87,10.7,0.15
Tin,Primary,Reused,33.58,2.54,4.45,145.28,13.28,3.49,0.16,21.49,7.02,0.09
Silver,Primary,Recycled,262.02,20.73,69.89,87.32,26.5,1.01,0.43,764.51,26.85,0.04
Copper,Primary,Reused,79.84,9.0,13.64,264.77,80.8,5.49,0.2,6.12,12.97,0.09
Tin,Primary,Reused,39.06,3.41,1.29,202.05,28.93,1.19,0.53,21.52,13.06,0.03
Steel,Primary,Landfilled,70.73,5.55,9.42,107.99,51.6,5.09,0.43,0.89,26.08,0.14
Tin,Hybrid,Reused,62.57,1.97,2.14,268.19,48.95,1.55,0.5,19.73,13.14,0.05
Zinc,Hybrid,Reused,91.36,7.34,5.18,275.83,39.15,1.37,0.42,2.25,8.05,0.03
Cobalt,Primary,Recycled,146.3,9.8,5.7,166.85,56.67,3.75,0.31,39.1,10.57,0.19
Cobalt,Primary,Reused,99.71,7.07,11.61,170.32,46.57,2.66,0.5,25.25,15.97,0.12
Lead,Hybrid,Recycled,78.48,6.09,1.58,101.39,44.64,1.37,0.25,1.77,6.7,0.03
Copper,Hybrid,Reused,146.35,3.93,8.98,341.68,53.65,4.57,0.39,5.45,19.17,0.12
Zinc,Hybrid,Landfilled,115.12,5.67,9.87,111.11,59.05,2.81,0.54,2.08,13.9,0.12
Nickel,Primary,Reused,102.52,5.2,17.55,355.24,35.37,2.15,0.4,12.69,15.32,0.22
Copper,Hybrid,Reused,122.56,8.28,12.48,154.59,64.27,1.16,0.28,7.46,7.07,0.13
Cobalt,Hybrid,Reused,102.13,8.68,5.91,358.82,48.68,1.42,0.46,22.2,19.5,0.12
Copper,Recycled,Recycled,114.14,9.79,11.34,359.36,37.26,3.01,0.49,6.62,5.81,0.18
Tin,Hybrid,Landfilled,20.49,2.44,3.44,273.52,71.35,4.59,0.3,21.02,7.03,0.08
Cobalt,Primary,Recycled,120.14,8.71,6.04,386.06,39.79,1.39,0.42,29.87,7.09,0.09
Cobalt,Primary,Landfilled,134.94,6.32,10.3,182.94,49.59,2.76,0.41,22.0,10.7,0.14
Lead,Recycled,Reused,72.68,4.56,6.1,158.81,23.6,3.22,0.21,1.2,6.2,0.04
Zinc,Recycled,Landfilled,59.07,8.59,10.5,110.79,31.36,1.29,0.6,2.24,13.57,0.18
Aluminium,Hybrid,Landfilled,175.51,4.93,5.41,290.7,22.66,2.26,0.43,2.44,13.64,0.13
Nickel,Primary,Reused,95.97,10.37,8.98,242.94,40.15,3.99,0.22,18.23,9.61,0.2
Tin,Recycled,Recycled,57.33,4.63,1.5,98.79,11.01,4.36,0.46,24.5,9.76,0.1
Gold,Recycled,Recycled,360.97,39.16,196.29,163.61,28.46,2.07,0.23,3875.3,15.57,0.05
Gold,Hybrid,Reused,324.46,24.16,264.54,61.67,35.97,5.74,0.28,3875.28,13.85,0.04
Gold,Hybrid,Recycled,332.11,21.43,247.76,58.51,25.79,5.01,0.46,4293.42,43.97,0.05
Aluminium,Primary,Recycled,59.61,10.04,14.6,412.1,45.83,7.3,0.44,2.92,6.68,0.16
Nickel,Primary,Recycled,78.61,8.12,9.93,163.14,72.62,2.97,0.53,16.78,6.44,0.05
Aluminium,Primary,Recycled,197.99,7.73,6.08,402.79,87.07,3.27,0.44,1.83,10.81,0.16
Zinc,Recycled,Recycled,64.07,2.42,9.5,314.3,40.77,3.78,0.18,2.74,9.57,0.15
Zinc,Hybrid,Reused,51.68,5.99,7.84,118.61,62.66,3.61,0.19,2.86,12.28,0.18
Zinc,Primary,Reused,67.2,6.56,5.1,245.84,36.94,4.38,0.59,2.38,11.58,0.16
Cobalt,Hybrid,Landfilled,58.27,4.4,8.97,134.46,29.57,4.52,0.47,23.01,16.19,0.1
Zinc,Recycled,Reused,84.15,2.12,2.98,285.04,26.09,3.88,0.47,3.96,10.15,0.16
Lead,Hybrid,Landfilled,50.94,5.75,2.2,250.74,41.99,4.79,0.46,1.42,5.75,0.15
Lead,Hybrid,Landfilled,39.35,2.13,2.36,105.63,59.21,3.93,0.59,1.38,11.0,0.11
Nickel,Hybrid,Reused,171.68,6.13,8.27,147.9,22.25,3.65,0.34,17.36,14.54,0.09
Copper,Recycled,Landfilled,129.21,7.26,13.34,325.51,39.06,4.94,0.62,5.7,21.63,0.12
Steel,Recycled,Reused,52.87,3.36,2.35,342.13,40.43,7.35,0.43,0.89,35.57,0.07
Copper,Hybrid,Recycled,103.92,6.93,6.91,217.75,35.66,2.21,0.42,7.86,6.4,0.09
Steel,Recycled,Landfilled,50.5,4.5,5.36,270.22,61.11,5.12,0.78,1.76,39.89,0.05
Copper,Primary,Reused,137.26,3.96,4.14,353.64,17.1,1.26,0.14,5.54,21.05,0.07
Steel,Hybrid,Landfilled,71.13,1.32,3.07,110.01,44.03,1.42,0.45,0.75,34.81,0.14
Copper,Recycled,Recycled,104.11,5.81,3.39,229.75,8.46,2.68,0.33,6.61,10.87,0.16
Silver,Primary,Recycled,224.96,16.22,113.63,152.95,39.99,3.43,0.22,1417.58,20.48,0.05
Lead,Hybrid,Landfilled,28.88,3.74,6.07,205.53,21.31,2.59,0.28,1.27,7.7,0.05
Lead,Hybrid,Reused,40.58,4.22,5.78,207.85,83.23,3.76,0.52,1.57,10.5,0.03
Silver,Primary,Landfilled,295.86,10.83,109.91,54.81,20.8,3.19,0.44,833.22,14.27,0.05
Copper,Primary,Landfilled,50.79,6.54,12.26,189.29,17.78,2.2,0.69,5.57,11.64,0.15
Silver,Recycled,Recycled,283.38,17.49,135.82,101.05,72.3,1.21,0.42,1044.02,13.32,0.04
Nickel,Hybrid,Landfilled,158.24,11.36,7.31,127.15,73.11,3.36,0.4,12.1,12.66,0.17
Nickel,Recycled,Recycled,85.57,9.8,9.07,413.83,35.71,5.31,0.53,13.98,14.78,0.2
Nickel,Primary,Reused,62.85,5.46,11.5,278.92,43.54,4.08,0.27,17.45,15.92,0.19
Lead,Primary,Landfilled,88.18,4.01,6.66,143.28,60.99,1.2,0.65,2.15,5.99,0.08
Gold,Primary,Reused,371.75,21.02,281.8,183.52,70.63,1.2,0.22,4320.16,31.53,0.03
Steel,Hybrid,Reused,43.08,2.47,6.71,200.38,53.65,5.17,0.57,1.49,39.88,0.08
Copper,Primary,Recycled,100.2,5.15,9.43,246.2,27.38,4.52,0.54,7.01,11.63,0.2
Lead,Primary,Landfilled,77.22,3.86,7.5,119.63,51.1,1.8,0.59,2.22,8.44,0.12
Silver,Primary,Recycled,269.8,17.55,56.93,192.69,54.38,3.95,0.41,721.91,15.31,0.04
Gold,Recycled,Recycled,376.32,38.95,299.92,160.43,72.23,5.88,0.17,4424.41,14.54,0.01
Steel,Primary,Recycled,36.85,5.15,7.24,113.66,89.37,1.93,0.78,1.86,22.09,0.04
Gold,Primary,Reused,342.38,39.02,164.78,72.76,81.32,1.79,0.14,4812.92,43.07,0.03
Gold,Recycled,Recycled,317.22,26.17,294.3,69.69,34.71,1.91,0.55,4922.79,42.08,0.04
Nickel,Recycled,Reused,106.02,14.5,10.02,209.26,31.62,5.2,0.42,18.03,18.84,0.18
Tin,Hybrid,Recycled,44.48,3.23,4.07,185.08,40.23,4.0,0.46,19.1,7.5,0.02
Gold,Primary,Recycled,301.44,30.0,179.27,144.42,44.14,5.85,0.39,3089.78,37.88,0.05
Nickel,Hybrid,Reused,158.52,13.25,6.17,390.87,27.3,5.22,0.2,19.72,16.99,0.14
Steel,Primary,Landfilled,98.02,5.69,3.99,344.25,55.55,8.46,0.3,0.75,15.02,0.07
Cobalt,Primary,Landfilled,75.45,9.85,9.92,220.91,36.08,4.36,0.13,34.06,7.0,0.05
Cobalt,Hybrid,Landfilled,135.9,11.43,8.3,377.87,41.78,2.24,0.11,28.4,6.42,0.07
Copper,Recycled,Landfilled,94.9,8.61,4.27,323.34,10.73,4.46,0.25,7.8,18.02,0.18
Zinc,Recycled,Recycled,46.26,2.07,9.37,190.19,44.72,3.04,0.32,3.16,13.84,0.07
Steel,Primary,Reused,93.26,7.92,4.03,240.14,76.37,2.73,0.31,1.14,13.03,0.13
Nickel,Hybrid,Reused,132.36,5.28,12.15,155.98,47.53,1.56,0.48,19.84,7.13,0.25
Nickel,Recycled,Recycled,60.77,6.06,6.85,181.98,21.56,3.53,0.63,12.56,10.65,0.2
Nickel,Primary,Landfilled,104.29,14.3,4.01,237.2,31.13,4.97,0.21,19.86,10.29,0.2
Nickel,Primary,Landfilled,91.88,10.81,15.88,123.8,71.26,5.31,0.23,18.51,10.05,0.09
Aluminium,Hybrid,Recycled,191.42,8.35,16.26,221.76,50.18,1.49,0.74,2.32,5.07,0.16
Tin,Hybrid,Recycled,43.99,5.72,1.49,83.04,54.26,3.7,0.42,16.06,5.43,0.05
Silver,Hybrid,Reused,270.94,17.85,90.1,171.86,37.24,4.49,0.11,1164.45,10.37,0.03
Lead,Primary,Recycled,54.08,5.04,3.95,132.62,63.73,5.89,0.42,1.99,14.58,0.1
Silver,Hybrid,Recycled,318.59,12.35,109.97,197.34,49.46,4.47,0.45,878.85,18.52,0.02
Copper,Hybrid,Landfilled,122.58,8.1,14.07,333.91,77.17,4.98,0.42,7.28,20.64,0.1
Silver,Primary,Recycled,295.22,10.49,124.08,92.62,36.84,1.68,0.53,985.7,24.83,0.03
Silver,Primary,Landfilled,193.2,19.45,143.26,122.52,59.93,4.32,0.26,1104.97,17.72,0.02
Tin,Primary,Landfilled,74.22,1.83,1.7,151.47,46.82,2.45,0.52,23.69,11.43,0.03
Lead,Hybrid,Landfilled,38.95,6.53,5.42,114.07,51.28,3.43,0.34,2.21,13.24,0.08
Tin,Recycled,Reused,48.83,3.89,3.02,238.32,29.08,4.24,0.44,24.48,14.28,0.02
Steel,Primary,Reused,38.61,7.99,3.14,243.58,88.46,7.36,0.35,1.89,22.05,0.14
Cobalt,Primary,Landfilled,134.29,10.22,9.14,310.22,32.47,1.09,0.49,38.66,9.63,0.12
Zinc,Hybrid,Recycled,35.94,5.67,2.71,169.56,46.92,5.32,0.35,2.09,7.92,0.18
Steel,Recycled,Reused,33.32,5.41,3.77,381.52,35.82,1.71,0.65,0.66,35.45,0.07
Aluminium,Primary,Landfilled,130.04,6.68,5.16,460.51,49.54,1.96,0.31,1.62,7.46,0.21
Copper,Recycled,Landfilled,101.31,6.48,9.41,360.69,63.35,3.45,0.42,5.91,16.9,0.07
Zinc,Primary,Reused,108.18,7.5,2.76,241.28,54.3,1.62,0.17,2.22,13.21,0.07
Copper,Recycled,Landfilled,60.58,6.43,5.26,246.09,74.16,6.09,0.63,5.23,13.73,0.03
Cobalt,Recycled,Landfilled,106.55,7.92,7.88,345.23,53.64,2.82,0.36,31.32,7.01,0.18
Lead,Hybrid,Landfilled,83.11,2.58,3.75,277.61,68.01,4.0,0.49,1.24,11.53,0.15
Copper,Primary,Landfilled,98.46,9.04,7.29,287.75,58.36,2.68,0.49,5.67,9.0,0.04
Nickel,Recycled,Landfilled,116.54,6.14,8.68,264.82,38.05,2.66,0.19,15.32,15.11,0.21
Gold,Primary,Recycled,367.31,27.62,299.9,145.2,78.05,5.08,0.52,4808.45,17.0,0.02
Nickel,Primary,Landfilled,115.69,9.61,8.93,243.11,67.12,4.47,0.3,13.6,8.08,0.05
Silver,Hybrid,Recycled,297.46,23.3,52.58,111.38,47.51,1.72,0.34,1319.0,18.04,0.02
Steel,Primary,Landfilled,77.02,2.67,9.89,120.98,79.54,3.51,0.31,0.56,39.53,0.07
Gold,Primary,Reused,357.9,31.13,194.72,164.19,40.38,5.59,0.15,3868.38,44.4,0.02
Nickel,Recycled,Recycled,177.74,10.5,15.88,359.54,55.4,4.65,0.3,13.39,13.96,0.15
Silver,Primary,Landfilled,198.69,14.38,146.2,138.71,50.51,2.74,0.39,849.85,19.11,0.02
Silver,Primary,Recycled,242.72,21.17,94.95,90.41,54.45,4.52,0.23,1168.35,18.9,0.04
Steel,Recycled,Recycled,28.82,7.42,5.9,149.19,65.2,3.74,0.3,1.55,36.46,0.15
Aluminium,Primary,Reused,159.75,8.77,9.32,278.93,36.63,1.22,0.64,2.28,14.77,0.17
Gold,Hybrid,Reused,400.87,32.52,263.43,57.42,87.75,1.44,0.58,4973.96,35.83,0.02
Cobalt,Primary,Landfilled,100.49,9.09,6.96,381.48,58.51,2.51,0.16,22.49,9.0,0.12
Aluminium,Primary,Landfilled,146.2,4.14,19.41,435.89,65.49,1.65,0.56,1.85,10.51,0.2
Steel,Hybrid,Recycled,97.81,1.39,9.56,191.57,88.87,4.25,0.49,1.2,11.85,0.13
Copper,Recycled,Reused,104.25,6.08,4.5,365.09,78.67,4.09,0.62,6.4,7.6,0.03
Nickel,Primary,Landfilled,158.5,8.86,13.37,430.58,57.13,2.03,0.23,16.02,13.99,0.09
Steel,Recycled,Recycled,42.32,7.0,5.9,134.59,23.67,6.32,0.56,1.68,38.71,0.05
Gold,Recycled,Landfilled,316.0,39.99,234.48,103.17,86.78,5.01,0.41,3954.09,44.83,0.02
Zinc,Primary,Landfilled,83.12,5.78,3.58,178.11,51.05,2.55,0.18,2.02,7.3,0.13
Gold,Recycled,Reused,470.73,38.91,220.12,199.12,89.29,4.5,0.49,4790.44,26.07,0.01
Cobalt,Primary,Reused,155.44,5.69,13.33,224.8,48.92,4.51,0.11,39.61,9.67,0.15
Copper,Hybrid,Recycled,99.48,6.71,12.11,270.5,71.84,6.21,0.35,5.01,14.99,0.06
Lead,Hybrid,Landfilled,49.53,4.39,1.64,240.51,24.38,5.92,0.25,1.62,9.85,0.02
Tin,Primary,Landfilled,46.57,3.32,2.82,275.6,52.86,4.19,0.14,19.37,9.63,0.1
Zinc,Primary,Landfilled,35.39,4.09,3.86,295.59,43.89,5.93,0.29,3.55,7.7,0.06
Steel,Recycled,Recycled,50.64,6.94,5.84,366.69,44.98,7.56,0.3,0.96,31.75,0.09
Tin,Primary,Landfilled,62.61,3.63,1.47,158.23,55.98,1.95,0.35,17.8,6.22,0.06
Copper,Hybrid,Recycled,61.5,5.8,8.05,351.78,39.08,6.17,0.65,6.42,11.94,0.08
Tin,Recycled,Landfilled,72.22,2.98,5.7,145.39,44.3,1.66,0.19,18.04,11.85,0.08
Steel,Recycled,Recycled,49.51,6.18,7.74,278.38,27.91,7.49,0.28,1.93,12.4,0.07
Aluminium,Primary,Reused,188.31,5.71,11.58,263.54,62.1,2.12,0.44,2.44,18.18,0.29
Copper,Recycled,Landfilled,46.43,4.4,10.94,334.01,55.26,7.0,0.4,5.81,9.96,0.07
Silver,Hybrid,Reused,338.22,23.88,141.59,99.78,57.16,1.58,0.47,1447.98,21.73,0.03
Gold,Hybrid,Recycled,425.38,34.33,264.66,82.43,39.91,5.3,0.4,3881.59,17.41,0.01
Tin,Hybrid,Landfilled,28.73,4.15,2.51,95.11,17.59,4.87,0.59,18.31,10.71,0.07
